id;name;url;wishlists;occurrences;votes_fire;votes_love;votes_neutral;votes_disgust;votes_poop
15492;NUTHIN BUT A G THANG;https://fortnite.gg/cosmetics?id=15492;483;1;1.5K;99;147;42;381
15378;BIG SPIN;https://fortnite.gg/cosmetics?id=15378;169;4;472;131;408;254;3.5K
15479;COFFIN;https://fortnite.gg/cosmetics?id=15479;1,128;3;3.1K;307;763;290;3.5K
15453;OH SHHH;https://fortnite.gg/cosmetics?id=15453;1,202;7;4.6K;680;881;463;7.5K
15452;IN HA MOOD;https://fortnite.gg/cosmetics?id=15452;1,536;7;5.8K;801;1K;505;7K
15469;CALIFORNIA LOVE;https://fortnite.gg/cosmetics?id=15469;2,379;3;5.7K;420;490;164;1K
15385;TOPSPIN;https://fortnite.gg/cosmetics?id=15385;172;4;500;131;328;198;2.6K
15435;RICHES;https://fortnite.gg/cosmetics?id=15435;2,185;3;4.8K;543;870;239;3K
15379;SPOTLESS;https://fortnite.gg/cosmetics?id=15379;123;4;361;103;269;189;2.4K
15433;DESIRABLE;https://fortnite.gg/cosmetics?id=15433;3,191;3;8K;538;645;225;1.7K
15422;LIL' SHADY MOBILE;https://fortnite.gg/cosmetics?id=15422;2,137;14;9.8K;926;961;375;2.1K
14629;HIGH BOLTAGE;https://fortnite.gg/cosmetics?id=14629;487;4;957;190;374;238;1.7K
15375;REVOLVER;https://fortnite.gg/cosmetics?id=15375;117;4;272;87;213;149;1.7K
15417;TAKE IT SLOW;https://fortnite.gg/cosmetics?id=15417;2,332;3;3.5K;481;844;317;5.4K
15298;THE DOGG;https://fortnite.gg/cosmetics?id=15298;579;20;2K;138;113;36;188
15294;SNOOP'S WALK;https://fortnite.gg/cosmetics?id=15294;3,342;20;20.2K;1.4K;922;368;1.9K
14530;LIGHT IT UP;https://fortnite.gg/cosmetics?id=14530;2,038;2;2.4K;329;423;146;683
12646;DRUM ROLL;https://fortnite.gg/cosmetics?id=12646;457;2;582;172;355;172;1.5K
15232;CHAINSAW DANCE;https://fortnite.gg/cosmetics?id=15232;465;7;768;57;126;55;405
15226;MOONGAZER;https://fortnite.gg/cosmetics?id=15226;6,062;3;9K;647;511;199;1.1K
15210;TICK-TOCK;https://fortnite.gg/cosmetics?id=15210;240;10;233;33;70;22;185
15185;CAFFEINATED;https://fortnite.gg/cosmetics?id=15185;5,524;4;10.1K;1K;1.2K;454;4.6K
15053;COMMITTED;https://fortnite.gg/cosmetics?id=15053;3,589;3;3.3K;459;515;232;1.5K
15093;ICE SCULPTOR;https://fortnite.gg/cosmetics?id=15093;537;7;798;96;140;47;225
15091;BOO!;https://fortnite.gg/cosmetics?id=15091;566;1;470;67;62;13;72
15035;BILLY'S TRICYCLE;https://fortnite.gg/cosmetics?id=15035;1,375;11;6.6K;702;717;257;1.3K
15003;SHAQ SHIMMY;https://fortnite.gg/cosmetics?id=15003;1,253;12;4.6K;628;950;401;2.8K
15002;ONES N TWOS;https://fortnite.gg/cosmetics?id=15002;1,373;12;5K;564;704;277;1.7K
14997;DIMENSIONAL;https://fortnite.gg/cosmetics?id=14997;3,565;3;4K;502;695;218;1.7K
14969;SPICY START;https://fortnite.gg/cosmetics?id=14969;1,604;3;1.9K;337;673;280;3.8K
14635;KICK IT!;https://fortnite.gg/cosmetics?id=14635;249;4;369;127;306;231;1.8K
14956;LIL' BATTLE ROBOT;https://fortnite.gg/cosmetics?id=14956;426;14;1.9K;376;824;368;2K
14954;FROZONE'S STUNT;https://fortnite.gg/cosmetics?id=14954;494;14;2.3K;461;724;263;1.6K
14804;ASMR KEYS;https://fortnite.gg/cosmetics?id=14804;1,335;11;4.7K;596;1.1K;386;3K
14633;CLASSY STRUT;https://fortnite.gg/cosmetics?id=14633;315;4;566;151;323;189;1.5K
14945;BYE BYE BYE;https://fortnite.gg/cosmetics?id=14945;7,741;6;25.4K;1K;782;274;2.3K
14636;FLAMIN' LICKS;https://fortnite.gg/cosmetics?id=14636;507;4;850;176;405;202;1.6K
14923;DEEP EXPLORER;https://fortnite.gg/cosmetics?id=14923;3,041;3;4.9K;555;778;239;3.1K
14771;WHAT YOU WANT;https://fortnite.gg/cosmetics?id=14771;7,470;3;14K;619;592;187;2.1K
14760;TEST YOUR STRENGTH;https://fortnite.gg/cosmetics?id=14760;577;7;1.5K;285;425;152;696
14768;LINE DANCIN';https://fortnite.gg/cosmetics?id=14768;3,208;3;3.8K;584;850;297;3.4K
14706;WINNER!;https://fortnite.gg/cosmetics?id=14706;786;18;4.1K;739;1.3K;492;2.1K
14630;B-BASS;https://fortnite.gg/cosmetics?id=14630;334;4;615;146;327;175;1.3K
14688;VICBLENDS;https://fortnite.gg/cosmetics?id=14688;1,670;3;1.8K;261;702;303;5.7K
14674;SPIDER STROLL;https://fortnite.gg/cosmetics?id=14674;1,034;12;3.7K;462;560;235;1.2K
14632;SIDE STRIDE;https://fortnite.gg/cosmetics?id=14632;946;13;4K;421;787;441;2.7K
14685;FANTASY FACEOFF;https://fortnite.gg/cosmetics?id=14685;1,492;3;1.3K;361;790;348;4.3K
14637;EN POINT;https://fortnite.gg/cosmetics?id=14637;261;9;461;123;451;365;4K
14665;INDEPENDENCE;https://fortnite.gg/cosmetics?id=14665;5,194;2;4.4K;556;812;288;1.7K
14523;CAIRO;https://fortnite.gg/cosmetics?id=14523;1,956;77;8.9K;2K;2.7K;1.6K;20.3K
14522;OKI DOKI;https://fortnite.gg/cosmetics?id=14522;1,874;77;8.4K;1.8K;2.5K;1.6K;21.3K
12650;WHIRLY KEYS;https://fortnite.gg/cosmetics?id=12650;506;9;884;205;466;241;2.2K
11336;GLITCHIN';https://fortnite.gg/cosmetics?id=11336;2,993;1;3.7K;520;703;297;1.1K
14460;FORCE LANCE FLOURISH;https://fortnite.gg/cosmetics?id=14460;373;11;221;46;51;14;60
14440;OPTIC BLAST!;https://fortnite.gg/cosmetics?id=14440;623;13;416;47;53;23;86
14439;SENTINEL SQUATS;https://fortnite.gg/cosmetics?id=14439;564;13;351;47;48;18;81
14450;FEEL IT;https://fortnite.gg/cosmetics?id=14450;7,047;3;6.8K;615;541;173;1.1K
14404;OUTLAW;https://fortnite.gg/cosmetics?id=14404;3,551;9;5.2K;687;925;321;2K
14370;NO TEARS;https://fortnite.gg/cosmetics?id=14370;3,490;2;2.4K;465;846;324;4.4K
14361;SHIMMY WIGGLE;https://fortnite.gg/cosmetics?id=14361;3,847;5;5K;538;980;460;7K
14348;SNIKT-ING GO TIME;https://fortnite.gg/cosmetics?id=14348;562;63;616;52;83;35;104
14347;WHAT!? NO WAY!;https://fortnite.gg/cosmetics?id=14347;863;63;1.2K;110;107;33;145
14335;MINE;https://fortnite.gg/cosmetics?id=14335;12,104;3;10.1K;956;677;273;1.6K
14271;THREE STRIPE CIRCUIT;https://fortnite.gg/cosmetics?id=14271;395;13;804;189;514;248;2K
12859;DAVY'S PIPE ORGAN;https://fortnite.gg/cosmetics?id=12859;932;21;3.5K;481;543;228;1.3K
12854;LOOKING GOOD;https://fortnite.gg/cosmetics?id=12854;5,640;3;4.8K;659;1.1K;327;3K
12845;HEEL CLICK BREAKDOWN;https://fortnite.gg/cosmetics?id=12845;7,831;3;6.6K;650;848;265;1.9K
12757;WATER CANNON;https://fortnite.gg/cosmetics?id=12757;869;3;1.3K;275;452;156;562
12832;ENTRANCED;https://fortnite.gg/cosmetics?id=12832;13,690;3;11.8K;892;713;243;1.6K
12758;CLAMMY JAMMER;https://fortnite.gg/cosmetics?id=12758;1,101;1;1.5K;218;227;62;334
12823;HOUDINI;https://fortnite.gg/cosmetics?id=12823;6,090;17;15.7K;1.4K;1.2K;442;2.6K
12813;IT'S TRUE;https://fortnite.gg/cosmetics?id=12813;3,680;6;3.5K;487;869;368;2.4K
12614;RINGER;https://fortnite.gg/cosmetics?id=12614;2,609;57;7.1K;986;1.6K;736;4.7K
12069;STICKY SITUATION;https://fortnite.gg/cosmetics?id=12069;313;12;594;186;548;332;2.7K
12581;YOU THINK YOU'RE THE KING?;https://fortnite.gg/cosmetics?id=12581;2,447;21;11K;1K;1.1K;628;7.4K
12727;GROOVE DESTROYER;https://fortnite.gg/cosmetics?id=12727;7,802;4;6K;703;695;260;1.5K
12616;NITRO FUELED;https://fortnite.gg/cosmetics?id=12616;3,072;64;9K;1.3K;1.6K;750;4.9K
